area,aspect_ratio,center_x,center_y,centroid_x,centroid_y,circularity,color,diameter,height,object_id,orientation_angle,perimeter,radius,shape,width
964.5,1.6975308274338434,352.59759521484375,889.8781127929688,352,890,0.791040831702675,green,,25.30014991760254,1,38.65980911254883,123.7817440032959,,rectangle,42.947784423828125
1776.0,2.255337447230441,421.8034362792969,895.55078125,423,896,0.43818944241865976,green,,36.57589340209961,2,75.52970886230469,225.68123924732208,,rectangle,82.49098205566406
812.0,1.6956521739130435,229.5,855.5,229,854,0.7310654514883376,green,,23.0,3,90.0,118.14213538169861,,rectangle,39.0
1802.5,1.861170352029961,246.17849731445312,713.0830688476562,247,713,0.46371663065102947,green,,42.70504379272461,4,128.3333396911621,221.01219248771667,,rectangle,79.48136138916016
748.5,1.8896551512181692,963.714111328125,698.6165161132812,963,699,0.6813097589173391,blue,,21.10059928894043,5,112.83365440368652,117.49747383594513,,rectangle,39.87285614013672
876.5,1.7901234985898244,1322.810546875,668.6399536132812,1322,668,0.7295745302970114,green,,23.660350799560547,6,173.2901611328125,122.87005710601807,,rectangle,42.354949951171875
916.5,1.7515274605431503,262.5151062011719,613.0477905273438,262,613,0.7233281508111266,green,,24.642581939697266,7,72.47442626953125,126.18376541137695,,rectangle,43.16215896606445
816.0,1.7081965975270221,232.20518493652344,573.083740234375,232,573,0.6951254565640463,green,,23.188722610473633,8,81.25383758544922,121.4558435678482,,rectangle,39.610897064208984
194081.0,1.1949536924958906,571.8181762695312,686.7047119140625,563,680,0.2740220480276387,green,,479.9083557128906,9,168.9388198852539,2983.3464406728745,,polygon,573.46826171875
4976.0,1.5975409486788232,403.96820068359375,428.546142578125,407,431,0.29131233982467386,green,,85.40399932861328,10,175.98582458496094,463.3036024570465,,rectangle,136.43638610839844
958.5,,473.33050537109375,379.66949462890625,,,0.8327388692288145,green,42,,11,0,120.26702618598938,21,circle,
931.5,1.7634855363663255,249.96392822265625,228.29379272460938,250,228,0.7335131684240066,green,,24.4698429107666,12,66.03751373291016,126.32590091228485,,rectangle,43.15221405029297
994.5,,344.5,208.0,,,0.8247657787547445,green,44,,13,0,123.09545254707336,22,circle,
