area,aspect_ratio,center_x,center_y,centroid_x,centroid_y,circularity,height,object_id,orientation_angle,perimeter,width
859.5,1.7095761489057546,486.3551025390625,925.761962890625,486,926,0.8371457908590008,23.6575870513916,1,58.671302795410156,113.5866584777832,40.4444465637207
802.0,1.883928727794999,631.678955078125,906.5963745117188,631,907,0.7925367866447686,21.45530891418457,2,163.3007583618164,112.76709723472595,40.42027282714844
858.5,1.69604887310515,429.373046875,914.2823486328125,429,914,0.7651597538670343,23.681934356689453,3,59.74356460571289,118.74054074287415,40.16571807861328
705.5,1.7555555288185538,510.8243713378906,903.4459228515625,510,905,0.6187658599654031,22.193862915039062,4,80.53767395019531,119.69893026351929,38.96255874633789
682.0,1.803418645619896,536.0189208984375,891.5661010742188,537,893,0.5960152874539196,22.72808837890625,5,29.05460548400879,119.91359400749207,40.988258361816406
894.0,1.7750760624748432,352.3984680175781,889.7351684570312,352,889,0.8196932488041542,23.14835548400879,6,39.289405822753906,117.07064533233643,41.090091705322266
799.0,1.7432023641399874,479.4302673339844,885.4644775390625,478,884,0.796926429084867,23.146289825439453,7,53.530765533447266,112.24556922912598,40.34866714477539
674.5,1.8211008860050122,415.5367431640625,876.2110595703125,415,875,0.6726651223202986,20.880613327026367,8,106.69924354553223,112.25261163711548,38.02570343017578
1276.0,2.0903292453730193,631.5013427734375,869.9234008789062,630,871,0.33001752073555385,34.94786834716797,9,15.068490028381348,220.4254674911499,73.05255126953125
623.5,1.5803922526234944,545.2840576171875,865.81201171875,545,865,0.7155895798567159,22.80789566040039,10,79.69515228271484,104.63841605186462,36.0454216003418
642.0,1.8878048698385461,699.2822265625,849.67822265625,699,849,0.5066203061703444,20.39826202392578,11,5.7105937004089355,126.19180417060852,38.507938385009766
13.0,1.0,446.0,839.0,446,839,0.7429559153356595,4.0,12,90.0,14.828427076339722,4.0
661.5,1.8628317642960164,229.3087158203125,854.8123168945312,229,854,0.5675735931801357,20.536027908325195,13,91.73570454120636,121.02045059204102,38.255165100097656
129.0,1.0,708.5000610351562,827.5000610351562,708,828,0.6894902098890092,13.86362075805664,14,63.43495178222656,48.488163471221924,13.86362075805664
4.0,1.0,498.0,822.0,498,822,0.7853981633974483,2.0,15,90.0,8.0,2.0
671.5,2.038194564299858,387.0821533203125,837.603271484375,387,838,0.7463334710008375,19.45013427734375,16,101.68937015533447,106.33138751983643,39.643157958984375
61.5,1.1666666666666667,562.6923217773438,823.5384521484375,561,823,0.5152720593018737,9.984603881835938,17,146.3099365234375,38.72792184352875,11.648704528808594
29.0,3.2592592407585856,544.0700073242188,818.5098876953125,544,818,0.3979247685518789,3.8183767795562744,18,8.130102157592773,30.262405395507812,12.445079803466797
308.5,3.5748032795209963,470.7147216796875,830.4496459960938,469,830,0.5139367508280026,10.404245376586914,19,145.0079803466797,86.85157108306885,37.19313049316406
1186.5,2.1652893445040773,344.5384521484375,832.1922607421875,344,832,0.38176573726580115,33.55936050415039,20,33.690067291259766,197.62429285049438,72.66572570800781
1044.5,1.0811455314473586,587.7249145507812,844.4423828125,586,837,0.2303599679420532,51.0937614440918,21,142.4314079284668,238.70177555084229,55.23979187011719
958.0,1.070989758956427,736.58251953125,819.7424926757812,734,824,0.24345956125896692,41.453041076660156,22,64.88516235351562,222.36901330947876,44.395782470703125
6.0,1.5,420.0,802.5,420,802,0.7539822368615503,2.0,23,90.0,10.0,3.0
187.5,1.872246796797297,610.5799560546875,805.0599975585938,610,805,0.6146144156524216,12.591693878173828,24,3.1798300743103027,61.91618609428406,23.574758529663086
1824.0,1.5063441967419922,438.3048095703125,831.7705688476562,438,828,0.1809069005964932,57.889122009277344,25,9.246112823486328,355.9506435394287,87.20094299316406
1163.0,1.201293391361272,689.0242919921875,806.5908813476562,688,808,0.28300374326727396,41.21044921875,26,119.98163795471191,227.24728298187256,49.50584030151367
355.5,2.0085837439168714,388.9529724121094,799.7203369140625,389,798,0.4813215215771083,16.393821716308594,27,140.7105941772461,96.34010028839111,32.92836380004883
1378.5,1.0915887622270473,805.0780029296875,814.9266967773438,799,813,0.3661948385605832,51.243709564208984,28,163.3007583618164,217.49646759033203,55.93705749511719
2673.5,1.7984395456143343,529.72705078125,823.0264892578125,527,823,0.1993708049518972,52.29356002807617,29,144.68878555297852,410.5010242462158,94.04680633544922
674.5,1.7272727272727273,757.0,796.0,757,796,0.6696249102764946,22.0,30,90.0,112.50714612007141,38.0
164.0,2.781250178233257,540.5079956054688,779.0270385742188,540,778,0.5701004645951767,9.029321670532227,31,163.61045837402344,60.1244558095932,25.112802505493164
1482.0,1.9648141156782428,338.5627746582031,794.7373046875,334,795,0.2029929350472443,40.91212844848633,32,15.172917366027832,302.89253664016724,80.38472747802734
2649.5,1.785353467703036,644.67919921875,819.8773803710938,645,813,0.19777742690915173,54.39478302001953,33,74.05460357666016,410.2971806526184,97.1139144897461
618.0,1.921951457169168,728.1411743164062,783.8353271484375,728,783,0.7325383557267536,19.887920379638672,34,67.16634368896484,102.96366310119629,38.22361755371094
792.5,2.075611627584219,505.58795166015625,790.33642578125,506,792,0.37002118603556894,28.695632934570312,35,141.91122436523438,164.05568027496338,59.56098937988281
1529.5,1.8164124455381563,464.556640625,791.7904052734375,469,785,0.27726626456643366,43.92514419555664,36,130.3140983581543,263.2880554199219,79.78617858886719
8.0,2.0,716.0,761.0,716,761,0.6981317007977318,2.0,37,90.0,12.0,4.0
765.5,1.0187500448760654,677.173583984375,770.5924682617188,673,772,0.39311902458730585,39.31488800048828,38,79.3803482055664,156.42836236953735,40.05204391479492
